RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
098.30920271232;+20.22056519482;    0.0792;    2.904;   -2.844;20.4646;21.0798;19.1277
098.30526223747;+20.22279450513;    0.0295;   -0.293;   -4.787;20.5482;20.7170;19.3544
098.30607730467;+20.21989550295;    0.7254;    2.467;   -2.561;16.2946;16.8461;15.6077
098.28233931507;+20.22324511560;    1.6301;    1.224;   -1.200;20.3682;21.0360;19.3867
098.29696546243;+20.22582506965;    0.2597;   -1.067;   -0.885;17.4591;17.8921;16.7861
098.27497137453;+20.22613512802;    1.4080;    4.728;   -7.628;18.3755;19.1799;17.3018
098.29786463690;+20.22838649328;    0.0255;    0.681;   -4.545;20.2353;20.8158;19.1931
098.29285930065;+20.22895034257;    0.2120;   -0.040;   -1.173;18.4310;18.9226;17.7686
098.28494172836;+20.22246401938;    0.3279;    0.350;   -2.603;15.6304;16.1407;14.9581
098.28095654831;+20.22417161489;   -0.1058;   -1.708;   -0.478;19.8920;20.2829;19.0112
098.29483652462;+20.22996820281;    0.3073;    0.135;   -2.916;17.2085;17.6940;16.5819
098.27864678764;+20.23927651236;    0.3383;    0.030;   -2.279;13.1569;13.8324;12.3745
098.26780027895;+20.22774552656;   -0.1073;   -1.255;   -2.714;19.2137;19.9568;18.3302
098.27708190108;+20.23548590171;    0.6704;   -0.570;   -5.708;12.2086;12.8766;11.4461
098.28082149470;+20.23923673554;    0.3973;    0.279;   -3.758;16.0600;16.4352;15.5033
098.29154498357;+20.23659543560;          ;         ;         ;20.8853;20.8867;19.5893
098.27786071270;+20.23462854216;          ;         ;         ;19.2376;       ;
098.28164501765;+20.24173459085;   -2.3433;   -0.330;   -2.456;19.9765;21.0749;18.5789
098.28977974500;+20.23084058647;    0.0238;   -0.822;   -1.213;18.9294;19.4442;18.1523
098.24841268363;+20.23643561396;    0.5649;   -4.229;   -2.668;19.7922;20.9591;18.5297
098.24958451784;+20.23561171004;    0.2831;   -0.093;   -2.222;18.9752;19.2573;17.8228
098.25645067027;+20.24375875174;          ;         ;         ;20.3014;19.6862;18.5354
098.25646167522;+20.24316405347;    0.5544;   -0.248;   -2.854;20.6006;       ;
098.24902157864;+20.23882073742;          ;         ;         ;20.9030;21.6427;19.7153
098.25719288895;+20.24700778974;    0.5172;   -1.680;   -2.053;20.6427;       ;
098.27055750583;+20.23860039679;    0.6529;    1.310;   -0.098;19.0941;19.6851;18.3404
098.25423996138;+20.25439870563;    0.8324;   -2.151;    2.395;20.3970;21.1766;19.0647
098.25983730616;+20.23826298070;    0.7386;    4.401;   -4.487;14.5500;14.9432;13.9881
098.25800087410;+20.23947426673;    0.9102;   -0.002;   -3.460;13.9393;14.2719;13.4443
098.26779174621;+20.23537943444;    0.2651;    1.818;   -1.177;20.0683;20.7640;19.1983
098.26810124417;+20.24755697481;    0.5725;   -4.057;   -1.515;16.0779;16.5157;15.4653
098.24944604706;+20.23599718516;    1.3892;   -2.207;   -0.229;19.4160;       ;
098.27073792860;+20.23556990573;    0.3427;    3.889;   -2.516;18.9240;19.5990;18.0153
098.26298760376;+20.23504550460;    0.4293;   -0.131;   -1.873;19.7978;20.6913;18.6359
098.26635859040;+20.23439032781;    0.3734;   -0.171;    0.056;19.7665;20.2613;18.8743
098.26958686922;+20.23414720336;   -0.0846;    1.636;   -0.203;20.0393;20.7640;18.9974
098.25725854122;+20.24644938622;    0.2842;    1.793;   -1.549;17.4149;17.7432;16.8039
098.25365419904;+20.24103497148;    0.5941;    1.736;   -0.935;18.9277;19.6989;17.9240
098.27087271039;+20.24396361729;   -1.4500;   -0.291;   -7.008;20.2682;21.1402;19.2531
098.26471398084;+20.24704670845;    3.4635;   -6.878;    4.607;10.5853;10.8211;10.2255
098.26343014651;+20.23904859114;    0.8518;    1.959;   -5.217;17.7407;       ;
098.25561528204;+20.24500237972;    0.2440;    0.681;   -1.789;14.8817;       ;
098.25608290783;+20.25189523373;    0.2746;    0.002;   -1.152;17.1401;17.4791;16.5513
098.26129842976;+20.24734382133;    0.2336;   -0.529;   -1.335;16.0436;16.3809;15.5279
098.26351345371;+20.23853436455;   -0.0975;    0.579;   -5.827;17.6389;17.9009;16.6088
