RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
357.57950232366;+62.37559392400;    0.3510;   -1.368;   -0.838;19.8094;       ;
357.58283859590;+62.38529234429;          ;         ;         ;21.0172;       ;
357.58116713788;+62.37534996263;   -0.2969;   -2.268;   -0.941;19.3054;       ;
357.57186645022;+62.37918752721;   -0.3962;   -4.161;   -0.618;20.8424;20.7810;19.6534
357.55273477938;+62.37199341670;    0.9201;   -2.640;   -0.973;20.5437;20.6221;19.1315
357.55561860734;+62.37574007465;    0.5099;   -3.752;    1.968;16.0159;16.8537;15.1041
357.56575529327;+62.37711896631;    0.3736;   -5.039;    0.529;18.8768;19.6695;17.9299
357.57677965786;+62.38265030348;    0.4831;   -3.443;   -1.999;19.4444;20.1071;18.4716
357.57693287005;+62.37795469841;    1.1107;    2.022;   -3.104;17.8657;18.7853;16.8617
357.55252611715;+62.37286842813;    0.8821;   -9.853;    1.977;17.0611;17.9398;16.1069
357.58873209441;+62.38878697698;    0.3622;   -4.704;   -1.703;15.8935;16.3933;15.2182
357.56036411913;+62.37870197006;          ;         ;         ;21.0641;       ;
357.59468187400;+62.38267147305;          ;         ;         ;19.4981;19.4639;17.5077
357.58976409998;+62.37517742709;    0.5168;   -0.681;   -0.128;18.6867;19.4678;17.7485
357.57061263661;+62.37081828812;    0.3232;   -3.201;    0.260;18.2232;18.8855;17.3572
357.59253003082;+62.37226388312;    0.2742;   -6.659;    3.417;19.6975;20.4647;18.6716
357.59280926470;+62.38779822460;    0.8695;    1.942;    0.774;20.9241;20.7749;19.8317
357.57747361197;+62.37927529770;   -1.7565;   -8.771;   -3.380;20.9379;21.1308;19.1481
357.57620594879;+62.37237897231;    2.2678;   -7.647;   -5.042;20.7752;21.0404;19.4522
357.58430746859;+62.37543120420;          ;         ;         ;21.0835;       ;
357.57305577800;+62.38013574591;    1.4233;    5.116;    6.445;18.6563;19.7944;17.4425
357.53759397569;+62.37205862719;    0.4547;    0.474;   -3.043;17.4044;18.0664;16.5892
357.54410394878;+62.37309123693;    1.2365;   -1.828;   -2.679;20.5018;20.8995;19.4135
357.56791769995;+62.37869754570;    1.2340;    1.002;    2.225;20.2678;20.9100;19.1360
357.58250874606;+62.37655867375;   -0.6346;   -2.580;    0.400;20.5887;21.1447;19.2108
357.55802962911;+62.37714399682;    0.4912;   -0.592;   -2.084;20.6429;20.9657;19.5102
357.59478104373;+62.38102505855;    0.4996;   -4.355;   -1.421;19.4535;20.2000;18.4658
357.58411515720;+62.37408805426;   -0.4440;   -1.983;   -0.606;19.9288;20.6816;18.8156
357.55428945874;+62.37802298421;    0.4521;   -3.475;   -1.675;18.4036;19.0655;17.4721
357.57375792775;+62.37849550266;          ;         ;         ;21.2366;       ;
357.58323937676;+62.37246443962;    0.5597;   -2.063;   -0.374;18.9075;19.6869;17.9254
357.55451797948;+62.37694703387;    0.2442;   -1.980;   -0.208;18.9015;19.4420;18.0204
357.59078927111;+62.37965331458;    0.5517;   -1.638;   -1.078;17.4750;18.0891;16.6529
357.57846376578;+62.37655545014;    0.1768;   -1.715;   -1.818;16.2684;17.4250;15.1856
357.58029055760;+62.37549467192;    0.4937;    2.531;    0.990;17.0879;17.6839;16.1843
357.57310822507;+62.38056910766;          ;         ;         ;21.0145;       ;
357.50291709313;+62.37415095766;    1.4623;    1.410;   -0.281;17.5456;18.1134;16.4381
357.51207418472;+62.37067003713;    0.6472;   -2.427;   -1.796;18.7785;19.5207;17.8492
357.49781361023;+62.36713720949;    0.3709;   -2.661;    0.316;18.3446;19.2553;17.3359
357.49421146151;+62.37417486953;    0.2693;   -5.514;   -2.389;19.9334;20.1757;18.8001
357.48003508995;+62.36954169148;    0.2641;    0.045;    1.961;17.0934;17.7974;16.2540
357.50296161249;+62.37386402636;    0.0725;   -5.283;   -0.785;18.8938;       ;
357.48146473744;+62.37194736550;    0.4585;   -0.987;    0.284;19.0467;19.8030;18.0230
357.50671312110;+62.37168855827;    0.0352;   -1.341;    0.537;15.7413;17.0514;14.5928
357.48678475037;+62.36970217330;    0.3471;   -2.998;   -1.937;19.4339;20.0626;18.4772
357.48805253756;+62.37469855135;          ;         ;         ;21.0803;       ;
