Name,AUID,Coords,Const,Type,Period,Mag
"NSV 18050","000-BKV-602","08 51 15.60 +11 48 15.0","Cnc","VAR:","--","14.21 - 14.39 V"
"NSV 18057","000-BKV-601","08 51 19.90 +11 48 39.0","Cnc","VAR:","--","18.61 - 19.02 V"
"HW Cnc","000-BFQ-503","08 51 18.69 +11 47 02.7","Cnc","RS:","9.2","12.60 (0.07) V"
"NSV 18049","--","08 51 14.70 +11 48 50.0","Cnc","VAR:","--","17.38 - 17.44 V"
"NSV 18060","000-BKV-600","08 51 21.60 +11 49 03.0","Cnc","--","--","15.23 - ? V"
"NSV 18061","--","08 51 23.30 +11 48 27.0","Cnc","--","--","14.32 - ? V"
"NSV 18058","000-BJV-745","08 51 20.12 +11 46 41.7","Cnc","--","--","12.82 - ? V"
"Cl* NGC 2682 SAND 1024","--","08 51 22.93 +11 48 49.5","Cnc","E:","7.160","12.72 - ? V"
"NSV 18059","--","08 51 20.60 +11 46 16.0","Cnc","--","--","12.93 - ? V"
"HV Cnc","000-BFQ-502","08 51 17.99 +11 45 54.2","Cnc","EA","10.33813","12.73 (0.09) V"
"Cl* NGC 2682 SAND 1045","--","08 51 19.03 +11 50 05.7","Cnc","E:","7.645","12.54 - ? V"
"NSV 18062","000-BJV-751","08 51 23.79 +11 49 49.5","Cnc","E:","42.88","11.55 - ? V"
"EU Cnc","000-BDH-591","08 51 27.16 +11 46 57.4","Cnc","AM","0.0871","20.4 - 21 V"
"NSV 18063","000-BJV-750","08 51 26.50 +11 49 21.0","Cnc","--","--","13.51 - ? V"
"NSV 4275","000-BJV-752","08 51 17.48 +11 45 22.7","Cnc","--","--","9.71 - ? V"
"NSV 18056","--","08 51 19.60 +11 45 12.0","Cnc","VAR:","--","16.57 - 16.63 V"
"EV Cnc","000-BDH-592","08 51 28.15 +11 49 27.5","Cnc","EW","0.4414384","12.78 (0.14) V"
"NSV 4278","000-BJV-747","08 51 29.91 +11 47 16.8","Cnc","--","--","9.69 - ? V"
"NSV 18048","000-BJV-744","08 51 14.35 +11 45 00.5","Cnc","--","--","10.88 - 10.95 V"
"Cl* NGC 2682 SAND 1264a","--","08 51 30.48 +11 48 58.3","Cnc","E:","353.9","12.09 - ? V"
"NSV 18052","000-BJV-749","08 51 18.80 +11 51 19.0","Cnc","--","--","13.02 - 13.07 V"
