RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
133.39254711571;+10.59145730110;    0.8454;   -4.107;   -1.098;18.4811;18.9563;17.8216
133.36107978538;+10.57487322103;    0.2747;    4.387;   -5.424;18.9559;19.9599;17.9364
133.37102527434;+10.57978634536;    0.2721;   -1.547;    0.860;19.5044;20.3477;18.5044
133.34046162884;+10.57180072626;          ;         ;         ;20.9766;21.1021;19.7038
133.35383109972;+10.58528512335;    1.6233;   -9.636;   14.527;16.8951;17.8132;15.9264
133.35339742858;+10.58866804418;    1.2449;   -2.778;    1.793;18.0372;18.7649;17.1279
133.37673638940;+10.58560025306;    0.0550;   -5.755;  -20.306;19.8543;20.3165;19.1333
133.38798040021;+10.59597842944;    1.4167;    6.448;   -9.098;19.2021;20.2692;18.1556
133.37380152946;+10.59247435142;    1.9147;  -11.075;    0.712;20.0308;20.5581;18.8409
133.36538909267;+10.59121770157;          ;         ;         ;20.9855;20.9269;20.0548
133.37486443479;+10.60638171827;          ;         ;         ;21.3063;       ;
133.37666280424;+10.59031472061;    1.4214;    2.255;  -14.973;13.3474;13.6706;12.8649
133.42245469941;+10.60841228288;    1.5846;   -6.919;    0.753;19.8723;20.8751;18.6669
133.41111719080;+10.60810318442;    5.2876;   34.104;  -73.562;16.6746;17.9644;15.5296
133.41613199924;+10.60434342934;    2.9511;   -3.358;  -12.696;17.7418;19.0049;16.6151
133.41061369148;+10.60972844437;          ;         ;         ;21.1895;       ;
133.42686808424;+10.62159809013;   -0.5697;   -4.035;   -0.374;20.7767;20.8914;19.5564
133.44163474453;+10.63445141504;    0.9220;   -6.589;   -1.969;11.5948;11.8850;11.1603
133.43548860436;+10.62345997910;    1.2856;   -5.114;    0.819;19.6038;20.5955;18.5459
133.37867941503;+10.61745893777;    1.0586;    2.664;   -1.382;19.7943;20.6640;18.6548
133.38808047352;+10.61100916358;    0.8258;   -2.455;   -5.329;15.1505;15.4870;14.6528
133.39037658934;+10.60884542330;          ;         ;         ;21.1291;       ;
133.39506903853;+10.62125538525;          ;         ;         ;21.1817;       ;
133.39739779882;+10.62696523539;          ;         ;         ;21.0354;       ;
133.38494021875;+10.62478554667;    9.2255;    5.685;   -6.899;20.0238;20.4523;19.0271
133.40757461037;+10.63361101428;    0.2824;   -0.836;   -2.633;17.6592;18.1805;16.9956
133.41596433296;+10.62865672741;    2.6458;   -9.923;   -8.916;20.7573;21.6723;19.4584
133.49517116018;+10.64232014744;    1.8327;   -6.509;  -20.051;18.3393;19.7694;17.1181
133.48958993708;+10.64099956313;    0.1569;   -0.509;    0.184;16.8065;17.0716;16.3842
133.54483226435;+10.67303991167;    0.8731;    7.347;   -8.584;18.7270;19.6505;17.7236
133.54969786508;+10.68851281328;   -0.9793;   -3.168;    2.335;20.3322;21.2225;19.2437
133.46472638360;+10.62910267481;    0.4675;   -3.334;   -2.140;17.9301;18.4637;17.2692
133.46202543077;+10.63687011334;   -0.8625;   -3.922;   -5.001;19.5788;20.6415;18.5012
133.46971306768;+10.64519146875;    2.1896;    7.337;  -35.577;19.8117;20.9523;18.5915
133.47169623014;+10.64542191642;    0.7712;  -10.462;    0.973;15.0615;15.4340;14.5367
133.46324197116;+10.62686332597;          ;         ;         ;21.2526;       ;
133.46529981832;+10.64895723978;    1.2694;   -6.178;   -0.876;19.3164;20.3258;18.3010
133.47670730451;+10.65187062272;          ;         ;         ;21.4347;       ;
133.47720873650;+10.65561738500;    1.1788;   -2.973;   -4.556;18.8961;19.6069;18.0612
133.48268556176;+10.66644943077;   -0.1668;   -5.228;   -2.163;20.0640;20.8712;19.1230
133.43001262465;+10.64880350335;          ;         ;         ;21.3868;       ;
133.42893350892;+10.65945558232;    1.7845;    2.845;  -13.178;19.8681;20.9643;18.7115
133.43299499914;+10.65427561729;   -0.1752;   -0.438;   -1.584;19.6476;20.0388;19.0695
133.45233502854;+10.65386167653;   -0.2517;    0.352;   -3.245;20.2812;20.6140;19.8110
133.44078328078;+10.66868983519;    2.2712;   -5.922;   -0.628;20.4736;21.2546;19.3029
133.43591114946;+10.66396500353;    0.3197;   -2.566;   -0.243;19.7536;20.4251;19.0758
