RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;---------;---------;---------
188.24221254604;+11.54318531704;   -0.2100;   -1.313;  -10.414;20.226511;20.494633;19.525194
187.91357189966;+11.41208260816;          ;         ;         ;19.160856;         ;
187.94622901284;+11.44216099433;    0.8643;  -16.454;   -1.609;15.309217;15.644160;14.792887
187.98847908473;+11.43053534206;          ;         ;         ;20.600578;21.080570;20.087692
188.02352184912;+11.45764918319;    0.8276;    2.338;   -4.110;18.358326;19.296244;17.423208
188.02281927755;+11.46595615840;    1.1095;   -8.556;    0.358;20.629183;20.668980;20.083826
187.97886725154;+11.43730159243;    2.1685;    4.486;   -5.021;20.414871;22.103900;19.074915
187.97266338677;+11.45788588971;    0.2252;   -0.677;   -1.182;19.902760;20.211147;19.418064
187.97933181985;+11.47321054190;          ;         ;         ;20.774937;22.037916;19.512203
187.83356184913;+11.40261439084;          ;         ;         ;20.932980;20.334148;19.738499
187.81003531383;+11.40016240576;    1.1071;  -24.326;    0.946;19.015644;20.078331;18.012384
187.85167705311;+11.40150257555;    0.4224;   -7.337;   -7.731;16.356945;16.704807;15.829529
187.87759788514;+11.40835349740;    1.4239;   -5.618;   -1.981;17.712070;18.700932;16.713722
187.88930967187;+11.42799033382;   -0.2803;   -7.205;   -9.269;19.831907;20.236444;19.193860
187.82674244625;+11.41383436191;          ;         ;         ;21.187190;19.896597;18.314110
187.79016564157;+11.39696487771;    1.9214;   -5.963;   -8.132;19.130875;20.660892;17.998018
187.78977485531;+11.40474090275;    0.5562;   -6.552;   -6.710;20.776829;20.958677;20.287357
187.79714513429;+11.39566052478;    0.6579;   -2.638;   -7.002;12.932620;13.429887;12.273351
187.77890954496;+11.41059123593;          ;         ;         ;20.953260;20.969970;20.354454
187.79992908198;+11.41243963060;    1.1070;  -12.249;  -15.034;17.216108;18.023760;16.326809
187.80217331613;+11.40220730392;   -0.0823;   -2.436;   -4.894;20.081448;20.593052;19.513504
187.76917447583;+11.41601921685;          ;         ;         ;20.607060;20.777708;20.258043
187.74405227676;+11.42025608466;          ;         ;         ;21.161370;20.588766;19.784190
187.78135668614;+11.44137301830;    1.2293;   -7.639;   -1.474;20.443268;21.052668;19.381636
187.81244572583;+11.43006499379;          ;         ;         ;20.764801;21.262327;20.420214
187.81826891058;+11.44628974716;    0.4769;   -1.991;   -2.641;17.151213;17.540290;16.649174
187.82403327189;+11.43603053492;    0.8738;    2.974;   -2.059;20.642326;20.674408;20.378012
187.82183712592;+11.44719171139;          ;         ;         ;19.920890;18.429085;16.961449
187.82958895453;+11.45130159643;    0.1004;   -5.845;   -5.352;17.924696;18.313812;17.383540
187.79556411462;+11.44870164956;    0.6921;   -3.481;   -4.836;19.901356;20.081459;19.398643
187.79535608911;+11.46670773222;    2.0813;    6.142;   -0.189;20.772200;21.064629;19.865011
187.80881595971;+11.46483802805;    0.3660;  -10.621;   -2.367;18.258842;18.596558;17.775028
187.82449533518;+11.46004381384;    1.5555;    8.801;    2.653;18.767788;18.672068;19.015081
187.82587659769;+11.47046385130;    0.9153;   -6.013;   -9.197;16.586075;16.952185;15.903237
187.81373978793;+11.48126003057;    0.3149;   -0.295;   -3.227;19.789093;19.965480;19.564510
187.93278488782;+11.44457485541;    0.7441;   -3.044;   -3.519;19.791851;20.141668;19.320965
187.89060172411;+11.44544837345;    0.0089;   -2.622;    0.386;20.574705;20.432060;20.168962
187.88005970248;+11.46375205024;    1.1113;  -29.055;  -15.959;18.773924;19.799076;17.651920
187.89173885574;+11.46516980767;    0.4384;   -1.923;   -1.499;19.863234;19.899580;19.657494
187.90943084766;+11.46587918619;    0.5641;  -18.499;   -2.928;19.364590;20.587873;18.260529
187.91584015386;+11.46968607850;   -0.6321;  -10.576;   -0.379;19.951748;20.779346;19.041367
187.90174633526;+11.47392594562;    0.2436;   -9.881;   -8.018;19.606802;20.220867;18.870840
187.90756003922;+11.48229153302;    2.1394;   -5.343;   -0.842;19.284698;20.524860;18.200203
187.93636010887;+11.47556816235;    1.5381;  -10.302;    4.542;20.293507;         ;
187.93595099354;+11.47523054108;    2.4003;   -7.533;    0.882;19.291555;20.583110;17.910430
