RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;---------;---------;---------
001.31578891643;-31.30463525708;   -0.0457;    2.138;  -10.259;19.574547;20.099545;19.031000
001.11492238969;-31.32991490818;          ;         ;         ;20.994274;20.917915;19.653881
001.14499670541;-31.32172912512;   -0.3139;    0.403;   -0.298;19.406250;19.633398;19.075748
001.12442409150;-31.32560603507;    0.8153;    2.971;   -3.744;20.551980;21.197590;19.422121
001.13473558798;-31.31504115597;    1.4520;   32.342;  -14.403;16.944904;17.689780;16.113539
001.23745265409;-31.31019472177;    0.1719;    7.911;   -3.270;18.393484;18.673515;17.953370
001.27206325617;-31.31844984590;    1.3002;   24.912;   13.977;20.585611;21.147835;19.216043
001.29610767019;-31.28185199449;    3.5004;   19.619;   25.524;19.711554;21.338354;18.338270
001.27566836609;-31.27913924932;    0.4333;    3.734;   -5.545;19.213630;19.674420;18.602661
001.28835712768;-31.27661176814;    4.2696;   17.036;   -4.496;13.913615;14.620283;13.095584
001.26711493642;-31.27054812491;    4.1753;   27.387;   -5.489;19.106836;20.958223;17.762170
001.27712440202;-31.26401073715;          ;         ;         ;20.982450;21.789661;20.356610
001.19052942993;-31.32448331518;   -0.0122;    4.555;   -2.865;19.799202;20.589802;19.023766
001.20257860801;-31.29682761099;    0.4295;   13.852;   -5.324;16.801420;17.090467;16.318506
001.20065127986;-31.30011520652;    2.8982;  -25.461;  -51.260;10.691728;10.948913;10.276608
001.16228314607;-31.30807163497;    1.6327;   26.198;  -24.577;19.182138;20.438257;18.128504
001.16470867209;-31.30294730517;    1.5914;   30.848;  -35.819;14.916821;15.332513;14.331070
001.18148320406;-31.30166593669;    1.0940;    4.620;    3.857;15.348282;15.669674;14.726137
001.19163912928;-31.26333649109;    2.3894;    0.828;   -3.699;15.827719;16.644558;14.942574
001.22795279390;-31.28682614479;    3.5159;   36.306;    3.802;19.375030;21.031387;18.073826
001.22368869154;-31.26954868238;    1.9406;   -4.072;   -6.676;19.831367;20.805607;18.898642
001.25833376019;-31.27250413978;   -0.4621;    3.830;  -11.536;19.952260;20.523623;19.255518
001.25189138159;-31.26221034151;    0.2951;    1.668;   -2.984;19.637003;20.660025;18.663162
001.21055131829;-31.26099661259;   -2.4859;    2.357;   -1.420;20.878483;21.087908;19.987297
001.22508802729;-31.25562504698;    0.7697;    5.503;   -0.038;16.186686;16.623913;15.591045
001.19472803203;-31.25544978610;    0.9867;    1.956;   -1.198;20.532305;19.443468;18.027424
001.22977286855;-31.24855596411;    4.6479;   72.291;  -22.810;19.652120;21.110306;18.326260
000.95407643788;-31.32863539706;    1.5869;   25.385;    6.732;14.770086;15.199767;14.146488
000.88331215257;-31.32148305482;    0.4906;   19.910;  -14.806;20.406101;21.052364;19.150274
000.86920845024;-31.31689800919;    0.5843;    0.561;  -32.659;17.396109;17.821922;16.792698
000.87181401614;-31.31873784962;          ;         ;         ;20.917276;21.801544;19.530521
000.93413198196;-31.31691766006;   -0.1754;    3.454;   -3.496;19.801762;20.060791;19.294268
000.90424959663;-31.31286057356;    0.5846;    2.646;   -0.110;19.745989;20.805225;18.675488
000.89856454202;-31.30879651173;   -0.1435;    1.779;  -14.754;18.844421;19.196537;18.340916
000.91486780477;-31.29676942397;    0.1152;    1.495;    0.800;18.143005;18.494380;17.641176
000.89637781447;-31.28383330599;   -0.4445;   -1.777;   -3.777;19.508736;19.888828;18.999065
000.90565219576;-31.29479108152;    0.2923;    2.569;  -23.748;16.511717;16.746134;16.129211
000.90296714260;-31.28745511813;    0.1760;    3.642;  -16.972;17.055265;17.336166;16.651590
000.92932830787;-31.28686362327;          ;         ;         ;20.718044;21.304003;19.840332
000.93673746934;-31.27841066548;    0.4422;    5.078;   -0.830;18.777103;19.784908;17.807589
000.83082037739;-31.31307509881;    0.7270;   10.895;  -20.443;19.018590;19.941988;18.111530
000.87129506517;-31.30242738924;    1.1276;    5.220;   -0.426;20.185984;20.997347;18.920301
000.87083824549;-31.29547258608;   -2.5402;   -0.618;  -18.142;20.717220;21.054562;19.591082
000.85173623253;-31.30108135840;    0.0456;    1.760;   -2.404;16.783527;17.177916;16.218098
